Name,year,month,HNsum,HSmean,HSmax,SCD1,SCD1gt,SCD10,SCD20,SCD30,SCD50,SCD100,HSmean_gapfill,frac_gapfilled,HSmax_gapfill,SCD1_gapfill,SCD1gt_gapfill,SCD10_gapfill,SCD20_gapfill,SCD30_gapfill,SCD50_gapfill,SCD100_gapfill
Alliz_Maso_Strimo_Osservatore,1991,1,,,,,,,,,,,41.6129032258065,1,54,31,31,31,31,31,6,0
Alliz_Maso_Strimo_Osservatore,1991,2,,,,,,,,,,,37.3928571428572,1,48,28,28,28,28,28,0,0
Alliz_Maso_Strimo_Osservatore,1991,3,,,,,,,,,,,15.6774193548387,1,29,28,28,21,13,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,4,,,,,,,,,,,1.36666666666667,1,6,12,8,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,5,,,,,,,,,,,1.03225806451613,1,8,9,6,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,6,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,7,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,8,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,9,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,10,,,,,,,,,,,0.258064516129032,1,3,4,3,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,11,,,,,,,,,,,9.66666666666667,1,22,26,18,16,5,0,0,0
Alliz_Maso_Strimo_Osservatore,1991,12,,,,,,,,,,,32.258064516129,1,64,31,31,31,31,14,1,0
Alliz_Maso_Strimo_Osservatore,1992,1,,,,,,,,,,,33.1290322580645,1,38,31,31,31,31,27,0,0
Alliz_Maso_Strimo_Osservatore,1992,2,,,,,,,,,,,43.8275862068966,1,49,29,29,29,29,29,0,0
Alliz_Maso_Strimo_Osservatore,1992,3,,,,,,,,,,,25,1,37,31,31,30,25,9,0,0
Alliz_Maso_Strimo_Osservatore,1992,4,,,,,,,,,,,17.1333333333333,1,67,25,21,15,9,6,4,0
Alliz_Maso_Strimo_Osservatore,1992,5,,,,,,,,,,,0.0645161290322581,1,2,1,1,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1992,6,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1992,7,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
Alliz_Maso_Strimo_Osservatore,1992,8,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
